LAMMPS data file generated from CRAFTED-2.0.0/CIF_FILES/DDEC/IRMOF-1.cif

106 atoms
0 bonds
6 atom types
1 bond types

0.0 18.26598237 xlo xhi
0.0 15.81880476 ylo yhi
0.0 14.91411215 zlo zhi
9.13299119 9.13299119 5.27293492 xy xz yz

Masses

1 65.38000000 # Zn
2 1.00800000 # H
3 12.01100000 # C
4 15.99900000 # O
5 15.99940000 # O_co2
6 12.01070000 # C_co2

Atoms # full

1 1 1 1.10382800 27.39897356 17.64956776 10.53831165
2 1 1 1.10382800 9.13299118 3.44217192 4.37580051
3 1 1 1.10382800 27.39897356 15.81880476 13.12740152
4 1 1 1.10382800 9.13299118 5.27293492 1.78671064
5 1 1 1.10382700 25.81348629 14.90342326 10.53831165
6 1 1 1.10382700 10.71847845 6.18831642 4.37580051
7 1 1 1.10382800 28.98446082 14.90342326 10.53831165
8 1 1 1.10382800 7.54750392 6.18831642 4.37580051
9 1 2 0.11588900 18.26598237 5.48596149 12.60839041
10 1 2 0.11588900 18.26598237 15.60577819 2.30572174
11 1 2 0.11588800 18.26598237 13.71595831 0.96941729
12 1 2 0.11588800 18.26598237 7.37578136 13.94469486
13 1 2 0.11589000 25.39336869 11.49077978 8.12520830
14 1 2 0.11589000 11.13859605 9.60095990 6.78890385
15 1 2 0.11588800 11.13859605 11.49077978 8.12520830
16 1 2 0.11588800 25.39336869 9.60095990 6.78890385
17 1 2 0.11588900 15.52060522 8.96082560 0.96941729
18 1 2 0.11588900 21.01135952 12.13091408 13.94469486
19 1 2 0.11588800 22.64799154 13.07582401 12.60839041
20 1 2 0.11588800 13.88397320 8.01591566 2.30572174
21 1 2 0.11588900 21.01135952 3.90091725 8.12520830
22 1 2 0.11588900 15.52060522 17.19082242 6.78890385
23 1 2 0.11588700 13.88397320 16.24591249 8.12520830
24 1 2 0.11588700 22.64799154 4.84582719 6.78890385
25 1 2 0.11588900 22.64799154 16.24591249 8.12520830
26 1 2 0.11588900 13.88397320 4.84582719 6.78890385
27 1 2 0.11588700 15.52060522 3.90091725 8.12520830
28 1 2 0.11588700 21.01135952 17.19082242 6.78890385
29 1 2 0.11588900 21.01135952 8.96082560 0.96941729
30 1 2 0.11588900 15.52060522 12.13091408 13.94469486
31 1 2 0.11588700 13.88397320 13.07582401 12.60839041
32 1 2 0.11588700 22.64799154 8.01591566 2.30572174
33 1 3 0.67193900 27.39897356 18.74422905 13.25417147
34 1 3 0.67193900 9.13299119 2.34751063 1.65994068
35 1 3 0.67193900 27.39897356 12.89338046 9.11699676
36 1 3 0.67193900 9.13299119 8.19835921 5.79711539
37 1 3 0.67194000 24.86548180 14.35609261 13.25417147
38 1 3 0.67194000 11.66648294 6.73564707 1.65994068
39 1 3 0.67194000 29.93246531 17.28151690 9.11699676
40 1 3 0.67194000 6.59949943 3.81022277 5.79711539
