pressure_bar,pressure_Pa,sample_count,inserted,max_adsorbates,mean_adsorbates_per_cell,max_atoms,framework_mass_amu,loading_mol_per_kg,loading_mmol_per_g,loading_absolute_mol_per_kg,loading_absolute_mmol_per_g,loading_excess_mol_per_kg,loading_excess_mmol_per_g,simulation_basis,pore_volume_cm3_g,pore_volume_source,pore_volume_method,gas_density_mol_per_m3,reference_mol_per_kg,reference_error_mol_per_kg,reference_match,reference_source,reference_doi,reference_basis,reference_compared_against,reference_path,comparison_error_mol_per_kg,comparison_relative_error_percent,absolute_error_mol_per_kg,relative_error_percent,log_file,summary_file
0.1,10000.0,5001,True,3.0,0.1295740851829634,115,1539.734,0.08415355196609504,0.08415355196609504,0.08415355196609504,0.08415355196609504,0.08074098733375633,0.08074098733375633,absolute,0.845545,CRAFTED-2.0.0/RAC_DBSCAN/CRAFTED_MOF_geometric.csv:AV_cm^3/g,Zeo++ accessible volume,4.035934967788489,,,,,,,,,,,,,outputs/module_A_co2_isotherm/runs/tao2022_pilot_003/logs/gcmc_0p1bar.log,outputs/module_A_co2_isotherm/runs/tao2022_pilot_003/logs/gcmc_0p1bar_summary.json
0.5,50000.0,5001,True,5.0,0.6838632273545291,121,1539.734,0.4441437464877239,0.4441437464877239,0.4441437464877239,0.4441437464877239,0.42704690151056596,0.42704690151056596,absolute,0.845545,CRAFTED-2.0.0/RAC_DBSCAN/CRAFTED_MOF_geometric.csv:AV_cm^3/g,Zeo++ accessible volume,20.219911391064905,0.72967,0.0,exact,nist_isodb,10.1021/La800369s,unknown,absolute_assumed_for_unknown_reference,isodb-library/Library/10.1021la800369s/10.1021La800369s.isotherm3a.json,-0.2855262535122761,-39.13087471216798,-0.2855262535122761,-39.13087471216798,outputs/module_A_co2_isotherm/runs/tao2022_pilot_003/logs/gcmc_0p5bar.log,outputs/module_A_co2_isotherm/runs/tao2022_pilot_003/logs/gcmc_0p5bar_summary.json
1.0,100000.0,5001,True,9.0,1.423515296940612,133,1539.734,0.9245202722941833,0.9245202722941833,0.9245202722941833,0.9245202722941833,0.8902408800357486,0.8902408800357486,absolute,0.845545,CRAFTED-2.0.0/RAC_DBSCAN/CRAFTED_MOF_geometric.csv:AV_cm^3/g,Zeo++ accessible volume,40.54118025466975,1.3445002702702702,0.0,linear_interpolation,nist_isodb,10.1021/La800369s,unknown,absolute_assumed_for_unknown_reference,isodb-library/Library/10.1021la800369s/10.1021La800369s.isotherm3a.json,-0.41997999797608687,-31.236884607815128,-0.41997999797608687,-31.236884607815128,outputs/module_A_co2_isotherm/runs/tao2022_pilot_003/logs/gcmc_1bar.log,outputs/module_A_co2_isotherm/runs/tao2022_pilot_003/logs/gcmc_1bar_summary.json
2.0,200000.0,5001,True,12.0,3.015996800639872,142,1539.734,1.958777815284895,1.958777815284895,1.958777815284895,1.958777815284895,1.8898718182701648,1.8898718182701648,absolute,0.845545,CRAFTED-2.0.0/RAC_DBSCAN/CRAFTED_MOF_geometric.csv:AV_cm^3/g,Zeo++ accessible volume,81.49299802462342,2.574160810810811,0.0,linear_interpolation,nist_isodb,10.1021/La800369s,unknown,absolute_assumed_for_unknown_reference,isodb-library/Library/10.1021la800369s/10.1021La800369s.isotherm3a.json,-0.615382995525916,-23.906159745011514,-0.615382995525916,-23.906159745011514,outputs/module_A_co2_isotherm/runs/tao2022_pilot_003/logs/gcmc_2bar.log,outputs/module_A_co2_isotherm/runs/tao2022_pilot_003/logs/gcmc_2bar_summary.json
5.0,500000.0,5001,True,25.0,8.87262547490502,181,1539.734,5.762440444196868,5.762440444196868,5.762440444196868,5.762440444196868,5.587479042728173,5.587479042728173,absolute,0.845545,CRAFTED-2.0.0/RAC_DBSCAN/CRAFTED_MOF_geometric.csv:AV_cm^3/g,Zeo++ accessible volume,206.92145476431793,6.263142432432433,0.0,linear_interpolation,nist_isodb,10.1021/La800369s,unknown,absolute_assumed_for_unknown_reference,isodb-library/Library/10.1021la800369s/10.1021La800369s.isotherm3a.json,-0.5007019882355648,-7.994421229234377,-0.5007019882355648,-7.994421229234377,outputs/module_A_co2_isotherm/runs/tao2022_pilot_003/logs/gcmc_5bar.log,outputs/module_A_co2_isotherm/runs/tao2022_pilot_003/logs/gcmc_5bar_summary.json
10.0,1000000.0,5001,True,40.0,23.474305138972205,226,1539.734,15.245688631265015,15.245688631265015,15.245688631265015,15.245688631265015,14.886098955544071,14.886098955544071,absolute,0.845545,CRAFTED-2.0.0/RAC_DBSCAN/CRAFTED_MOF_geometric.csv:AV_cm^3/g,Zeo++ accessible volume,425.27562190178395,15.76557,0.0,linear_interpolation,nist_isodb,10.1021/La800369s,unknown,absolute_assumed_for_unknown_reference,isodb-library/Library/10.1021la800369s/10.1021La800369s.isotherm3a.json,-0.5198813687349855,-3.2975741995689685,-0.5198813687349855,-3.2975741995689685,outputs/module_A_co2_isotherm/runs/tao2022_pilot_003/logs/gcmc_10bar.log,outputs/module_A_co2_isotherm/runs/tao2022_pilot_003/logs/gcmc_10bar_summary.json
20.0,2000000.0,5001,True,46.0,35.37992401519696,244,1539.734,22.977945551112704,22.977945551112704,22.977945551112704,22.977945551112704,22.21379219735377,22.21379219735377,absolute,0.845545,CRAFTED-2.0.0/RAC_DBSCAN/CRAFTED_MOF_geometric.csv:AV_cm^3/g,Zeo++ accessible volume,903.7406096173896,22.5934,0.0,exact,nist_isodb,10.1021/La800369s,unknown,absolute_assumed_for_unknown_reference,isodb-library/Library/10.1021la800369s/10.1021La800369s.isotherm3a.json,0.38454555111270494,1.702026039076478,0.38454555111270494,1.702026039076478,outputs/module_A_co2_isotherm/runs/tao2022_pilot_003/logs/gcmc_20bar.log,outputs/module_A_co2_isotherm/runs/tao2022_pilot_003/logs/gcmc_20bar_summary.json
35.0,3500000.0,5001,True,48.0,39.81703659268146,250,1539.734,25.859685239581296,25.859685239581296,25.859685239581296,25.859685239581296,24.362146077522883,24.362146077522883,absolute,0.845545,CRAFTED-2.0.0/RAC_DBSCAN/CRAFTED_MOF_geometric.csv:AV_cm^3/g,Zeo++ accessible volume,1771.093391905116,23.824163414634146,0.0,linear_interpolation,nist_isodb,10.1021/La800369s,unknown,absolute_assumed_for_unknown_reference,isodb-library/Library/10.1021la800369s/10.1021La800369s.isotherm3a.json,2.03552182494715,8.543938309694507,2.03552182494715,8.543938309694507,outputs/module_A_co2_isotherm/runs/tao2022_pilot_003/logs/gcmc_35bar.log,outputs/module_A_co2_isotherm/runs/tao2022_pilot_003/logs/gcmc_35bar_summary.json
