pressure_bar,sample_count,max_adsorbates,mean_adsorbates,max_atoms
0.01,801,1.0,0.016229712858926344,109
0.05,801,2.0,0.05742821473158552,112
0.1,801,2.0,0.12609238451935081,112
0.5,801,4.0,0.7053682896379525,118
1,801,6.0,1.4369538077403246,124
5,801,22.0,9.277153558052435,172
10,801,39.0,23.880149812734082,223
